,Property Name,Year Built,Property Uses,Water Intensity (gal/sf)_num,GHGI/GUI,E_Jan,E_Feb,E_Mar,E_Apr,E_May,E_Jun,E_Jul,E_Aug,E_Sep,E_Oct,E_Nov,E_Dec,G_Jan,G_Feb,G_Mar,G_Apr,G_May,G_Jun,G_Jul,G_Aug,G_Sep,G_Oct,G_Nov,G_Dec,Type Index
365,2 Cummington Street (23-25 Blandford Street),1905.0,Laboratory,22.910256825468803,0.14185621947007448,10.824414255679669,6.043363177072923,5.188056295529439,5.181494986937921,6.122473034626852,6.337081227614537,6.505442229174242,6.674151874658586,5.887065255305762,5.4801110594452105,5.442442209265446,5.145904394689425,20.289422801279763,10.229956842783244,6.846651597015024,4.564934323163907,3.31518706567798,3.118033184814938,1.3099134427779413,6.088348620273223,5.194854493663034,5.9321273177680585,5.110072302627525,9.068498008155382,4
366,20-28 Cummington Street (24 Cummington St),1983.0,Laboratory,46.47752883468116,0.16265302225119685,24.770220899953948,13.829426455680709,11.872171319961353,11.857156644860629,14.010458759202029,14.501560838416673,14.88683241996051,15.272901826386578,13.471759615062071,12.540499494234771,12.454299380495549,11.775712345785243,38.00625250818992,19.16280846048422,12.825183445600118,8.551058759469845,6.210025685013333,5.8407160081220955,2.453736686237847,11.404726358474745,9.731028505010451,11.11209180064025,9.572214063010163,16.987157719747024,4
367,30-38 Cummington Street,1917.0,Laboratory,73.23523780871373,0.1425406444466165,16.392842884964526,9.152264567715953,7.8569601755901255,7.847023517742419,9.27207109349198,9.597080678895395,9.85205202250185,10.107551363738883,8.915561942127585,8.29925735173197,8.242210427245489,7.793123974253836,30.72695781515171,15.492577361007848,10.368790519918198,6.91328411609364,5.020626467008152,4.722050256156554,1.9837752651691591,9.220391977206592,7.867255586618616,8.98380538630557,7.73885869564053,13.733626553723449,4
370,582-596 Commonwealth Avenue (590 Comm / 712 Bea),1983.0,Laboratory,17.358761990898667,0.11462673532140973,19.810043579536057,11.060116979721123,9.494797490182647,9.48278946775607,11.204897998693296,11.59765806452141,11.905779935988225,12.214539869818296,10.774072066023022,10.029294550635298,9.960355802909469,9.417654194215123,55.02180720289815,27.742076184744153,18.56707052960688,12.379402740189049,8.990279583398006,8.455628453674139,3.5522846365282685,16.51066899486044,14.087649766922286,16.087020748598718,13.857733449682309,24.59237770889761,4
371,6-8 St. Mary's Street,1997.0,Laboratory,27.213821399783434,0.13265704252828714,18.199804918345308,10.161106945415266,8.723022812480144,8.711990849590139,10.29411959077334,10.654954565673258,10.938031073266828,11.221693778992188,9.898312893181675,9.214073838724028,9.15073870496283,8.652150028595033,38.48753439557905,19.405471496561002,12.987591683388889,8.65934277663376,6.288664663738587,5.914678333754887,2.48480891634667,11.549147022568908,9.854254749537443,11.25280676625021,9.693429203854306,17.202269991786338,4
735,10-18 Buswell Street,1924.0,Multifamily Housing,76.78614421572168,0.05913235700469743,1.6707021682315075,0.9327673280841385,0.8007543592763126,0.7997416492828334,0.9449775971501515,0.9781014563147838,1.0040872587524388,1.0301268728927018,0.9086434105567345,0.8458317663110992,0.8400177399643989,0.7942483931829011,45.28754941396818,22.834049078571415,15.28225201657705,10.189283882376632,7.39975205425606,6.959689455670091,2.923827372954414,13.58966155373809,11.595314065085185,13.240963612647775,11.406073705536716,20.241583788618396,3
739,22-24 Buswell Street,1914.0,Multifamily Housing,38.19785363625985,0.0677037652525812,1.4046916671598417,0.784251387274898,0.6732576262279023,0.6724061607087096,0.7945175277857249,0.8223673802833651,0.8442157030082194,0.8661092694944613,0.7639684986940649,0.7111577733893581,0.7062694608479895,0.6677875451254678,16.26522547037512,8.200950624853705,5.488689009700614,3.6595267766331863,2.657653972114104,2.4996035260267675,1.0501056487479106,4.8807875916876755,4.164508791245213,4.755551170060052,4.096542271617163,7.269855146938497,3
741,580 Commonwealth Avenue,2004.0,Multifamily Housing,51.63971408895539,0.14690579665789313,6.811402112541425,3.8028641309224245,3.264651257485912,3.260522469530679,3.852645027896406,3.987689997957304,4.093633327047064,4.199796044817701,3.704511650191002,3.4484304799847063,3.424726870751825,3.2381266308735612,12.26630607531359,6.184689579385817,4.139256444235744,2.759806534176077,2.004251162924254,1.8850585239671005,0.7919298335223475,3.6808118397914202,3.1406351900739984,3.5863656679717058,3.08937871446289,5.482510434175055,3
1012,560 Harrison Ave,1902.0,Office,23.00408163265306,0.1892147587511826,1.2668406570884454,0.7072879878234533,0.607186725414887,0.6064188194302211,0.7165466489905651,0.7416634246237989,0.7613676374159185,0.7811126539215829,0.6889955835199897,0.6413674986452474,0.6369589061998446,0.6022534569260474,1.5872541496733141,0.800295878730588,0.5356178076216173,0.3571176478697574,0.25934914356502864,0.24392567299176413,0.10247534235577173,0.47629529468807386,0.4063966941186529,0.46407400514734565,0.399764130646664,0.7094342325914222,5
1013,580 Harrison Ave,1887.0,Office,18.898701298701297,0.12164463547157572,2.479003788671132,1.3840490449096075,1.1881669445261855,1.1866642757930042,1.4021667584380344,1.4513162561318411,1.489874237272666,1.5285120647303136,1.3482537463308497,1.2550532303930406,1.246426322728127,1.1785133300751998,6.17232132438399,3.1120934975171495,2.082845533201565,1.3887157729050703,1.0085254775466312,0.94854855681534,0.3984936759977991,1.852159343676644,1.5803461479587224,1.8046346759608698,1.5545542399886512,2.7587617540475646,5
1099,100 Bay State Road,2012.0,"Food Service, Office",41.59996118954058,0.1422324619146135,11.359038949513751,6.341848722059847,5.444297690497859,5.4374123147084275,6.4248658657149,6.650073693635268,6.826750151975022,7.00379247398425,6.177831146683917,5.750777224664763,5.7112478860540525,5.400063880507953,21.29153027767395,10.735220907500567,7.1848120671690685,4.790399328220752,3.478926260070028,3.2720348238340207,1.3746108995411879,6.3890560248665755,5.451431655954281,6.225118853026647,5.3624620186649326,9.516396883478,8
1105,577-599 Commonwealth Avenue (595 Comm Ave),1996.0,"College/University, Office, Parking",15.187882703285148,0.21667236857110272,8.639049029909833,4.823255056493255,4.140627995966969,4.135391364655233,4.886393247809147,5.057673712289537,5.192043934348974,5.326692411830626,4.69851247204246,4.3737191697977575,4.343655368106819,4.106986236749401,8.778701758741907,4.426234349157066,2.962366795984839,1.9751275018416292,1.4343946010228548,1.3490912812770608,0.5667652331237858,2.6342689619171997,2.247677458673269,2.566676096585982,2.210994425506526,3.9237015361678855,1
1107,983-985 Commonwealth Avenue,1981.0,Office,5.6177946561779475,0.14303877940241574,10.921618745467686,6.097633276161456,5.234645640069153,5.228025410168923,6.177453549370134,6.393988948709216,6.563861851501658,6.734086529081435,5.939931781010882,5.52932308948513,5.4913159686815565,5.192115210292794,20.47162416062416,10.32182303636821,6.908135318861214,4.605927960446969,3.3449578282947154,3.1460334828184076,1.3216766167348952,6.1430226938356505,5.241504886806897,5.985398505996892,5.155961341907053,9.149934167304949,5
1218,100 Ashford Street,2002.0,Other - Stadium,3.7053960869023386,0.12302155631449452,5.70468849443413,3.184976440258205,2.734212157674391,2.730754213369384,3.2266689589963358,3.339771881743935,3.428501585340146,3.517415031440899,3.1026042273191776,2.8881310129677176,2.8682787557329843,2.7119972407227064,13.630563781064023,6.8725503228359015,4.59962425712528,3.066752024327141,2.2271638374075353,2.09471460146286,0.8800082143456386,4.090191475765039,3.489936416759709,3.9852410073060134,3.432979199507823,6.092274862093037,2
1299,10 Buick Street,2000.0,Residence Hall/Dormitory,44.84675469061306,0.1455320365389363,10.695531516987526,5.971406840335004,5.126283816385267,5.119800631136103,6.049574762846698,6.261627686698826,6.42798406921334,6.5946849444640065,5.816969906491386,5.414861180329783,5.377640840753907,5.084633804358173,19.261036282672436,9.711442846298855,6.499623282363931,4.333556774268159,3.1471540112931318,2.9599930412761237,1.2435193743862878,5.77975553199298,4.9315489092837295,5.631452438053387,4.851063975155569,8.60885353295542,3
1301,140 Bay State Road,1958.0,Residence Hall/Dormitory,37.545291612032244,0.09020778897598607,3.616817057529058,2.019299936919117,1.7335118614151448,1.7313194977201705,2.0457333194062675,2.1174414557311567,2.173696780765886,2.2300685999834737,1.9670753106113066,1.8310976177353013,1.8185111316077776,1.7194274305753474,16.09178379176843,8.11350107519109,5.430161236020105,3.620503987296424,2.629314496161634,2.472949396196541,1.0389080120004255,4.8287420793542095,4.120101205464034,4.70484109664991,4.0528594361491495,7.192334187748043,3
1306,40-48 Buswell Street,1896.0,Residence Hall/Dormitory,44.39127302665432,0.0662133142448103,2.20445896483534,1.2307683186149154,1.0565797779541994,1.0552435268459206,1.246879530785135,1.2905858176828837,1.3248735777824387,1.3592323413753054,1.198937279383951,1.1160585384052948,1.108387043901077,1.0479952824335423,27.970911978475183,14.102974993208852,9.438764771332696,6.293199042245994,4.570302788525324,4.298507286906269,1.805841100864246,8.393371512825471,7.161604310107325,8.178005489635344,7.044723942143042,12.501792783730268,3
1307,512 Beacon Street,1926.0,Residence Hall/Dormitory,41.94409902780918,0.06730868799834318,1.6698342710012577,0.9322827736279911,0.8003383829857795,0.7993261990754138,0.9444866996970867,0.9775933516621529,1.0035656549816583,1.0295917420496408,0.908171388005796,0.845392373185743,0.8395813671124694,0.7938357966150139,19.33536843064673,9.748921224725688,6.524706613941291,4.350280826841057,3.1592995009870473,2.971416239774792,1.2483183615637812,5.802060751564465,4.950580731761377,5.6531853266577325,4.869785190356145,8.642076801179899,3
1308,514-522 Park Drive,1915.0,Residence Hall/Dormitory,35.50367885739018,0.06963605308106688,1.7922077804665266,1.0006049519448033,0.8589910399509536,0.857904678321585,1.0137032405792537,1.0492361076831318,1.077111786661707,1.1050451909212622,0.9747265676881335,0.9073468038609975,0.9011099392345371,0.8520119126871122,19.048551455634808,9.604307683725175,6.427920425430668,4.285749634085026,3.112435086208504,2.9273388475880116,1.2298010575051697,5.71599414675328,4.87714481068601,5.5693271100227815,4.797547774127657,8.513881968232916,3
1312,722-728 Commonwealth Avenue,1974.0,Residence Hall/Dormitory,68.45853959688576,0.06799055829228243,1.6848778229922599,0.9406817175345495,0.807548638688354,0.8065273360040212,0.9529955888835467,0.9864004989744245,1.01260678700852,1.0388673433293674,0.9163531122220644,0.8530085206919208,0.8471451632125817,0.8009874704583924,19.509560939030933,9.83674934386736,6.583487754607429,4.3894725460017865,3.1877616586535975,2.998185755448439,1.2595644729292208,5.854331569146127,4.995180558173642,5.704114924195189,4.913657129008003,8.719933348938277,3
1379,213-217 Bay State Road,2003.0,Worship Facility,5.186476605941445,0.1332001332001332,1.7770195789371492,0.9921252489622202,0.8517114548666235,0.8506342996917411,1.0051125351506158,1.0403442762620885,1.0679837206730485,1.0956804011676922,0.9664661730467086,0.8996574241672602,0.8934734143257698,0.8447914727490857,3.7579030364782113,1.8947402426899689,1.2681017630776703,0.8454937689631675,0.6140219789701838,0.5775061463215609,0.24261546286217484,1.1276527672250758,0.9621643585921752,1.0987182572197094,0.9464614351402809,1.6796207824598246,9
